X,cntry,gndr,nwspol,netustm,agea,eduyrs,netusoft,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtdgcl,lrscale,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgdgr,rlgatnd,pray,gvrfgap,rfgfrpc,rfgbfml,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrenexp,wrdpimp,wrtcfl,clmthgt1,wrclmch,lklmten,gvsrdcc,inctxff,sbsrnen,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,lbenent,bennent,admub,ubpay,ubedu,ubunp,ub50pay,ub50edu,ub50unp,ub20pay,ub20edu,ub20unp,ubsppay,ubspedu,ubspunp,bnlwinc,eduunmp,wrkprbf,basinc,eusclbf,eudcnbf,lkuemp,lknemny,hhmmb,domicil,estsz,wkdcorga,iorgact,hinctnta,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
43344,SI,1,90,480,30,8,5,5,5,2,2,2,2,2,2,3,8,8,1,2,5,6,NA,5,7,2,6,7,6,4,1,5,1,5,8,3,2,2,1,3,3,9,6,3,2,4,4,1,5,2,0,1,1,4,4,4,2,3,3,2,5,5,4,2,3,2,NA,3,2,2,4,5,4,2,4,3,3,6,3,4,2,2,4,4,3,2,4,4,4,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,2,2,2,2,4,2,2,4,3,5,7,1,9,4,4,5,5,6,6,4,6,3,4,5,5,5,5,5,2,4,5,5,4,2,4
26408,IL,2,30,300,36,16,5,8,6,6,2,1,2,2,1,0,0,0,0,0,0,0,3,4,7,4,4,3,4,5,1,5,1,5,5,4,4,4,8,NA,NA,8,6,2,3,3,5,1,10,0,0,1,5,5,NA,3,NA,3,5,1,5,5,3,5,4,2,NA,3,4,5,5,5,4,5,NA,2,2,10,10,2,5,5,3,4,4,3,3,4,4,2,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,2,3,3,3,NA,NA,1,1,2,5,1,10,10,6,3,6,3,6,6,6,4,3,6,6,6,6,6,6,6,3,4,5,6,6,3,5
36019,NO,2,170,110,72,15,5,7,7,6,2,3,2,3,2,6,7,7,6,6,6,7,3,7,7,7,8,7,8,4,2,4,2,3,5,3,3,3,5,6,6,8,4,3,3,2,4,1,7,5,6,2,2,4,3,4,1,2,4,1,2,2,2,2,3,2,NA,3,4,4,4,4,3,3,2,7,4,7,5,4,4,4,2,3,2,3,2,3,4,2,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,2,3,2,2,NA,NA,1,1,2,5,4,8,5,6,4,4,2,5,2,4,2,3,4,4,3,4,4,4,4,3,3,3,5,4,5,4
42244,SE,2,60,60,55,15,5,9,10,8,2,5,3,3,3,5,7,6,6,6,5,7,2,2,6,5,8,7,5,4,1,5,1,5,6,4,4,4,9,0,9,8,6,3,2,4,4,1,10,8,7,3,2,5,2,5,1,4,4,2,5,5,4,2,2,2,NA,2,6,7,5,5,2,5,1,3,3,10,9,2,5,5,3,1,1,3,2,3,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,2,1,1,2,4,3,8,8,8,4,3,2,6,4,3,2,2,4,4,4,4,5,2,4,2,4,3,4,4,3,3
20416,HU,1,0,540,39,17,5,0,6,3,4,1,1,1,1,0,0,8,0,0,7,9,NA,NA,0,0,0,0,0,5,4,3,3,3,10,NA,NA,NA,6,6,NA,8,4,1,3,3,4,1,4,7,0,1,1,NA,NA,NA,1,3,5,5,5,5,5,2,4,1,NA,2,5,5,NA,NA,4,5,6,3,NA,9,6,2,5,2,4,1,1,NA,1,1,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,4,1,1,2,3,4,0,0,10,4,6,5,4,5,5,5,4,5,5,6,5,5,5,4,5,5,5,6,4,1,5
21012,HU,2,0,600,19,12,5,5,0,7,4,NA,1,1,1,9,9,9,5,5,8,9,NA,NA,NA,5,NA,3,3,5,2,5,2,5,NA,1,1,1,3,6,NA,9,6,4,3,3,4,1,10,10,7,1,2,1,NA,NA,1,1,4,1,5,5,2,4,4,3,NA,3,0,NA,3,5,3,4,NA,6,6,8,8,4,4,2,4,4,4,2,NA,4,4,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,4,3,NA,NA,NA,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27834,IS,2,0,300,17,11,5,5,6,5,2,2,2,2,3,NA,NA,8,4,5,NA,4,4,1,5,NA,NA,7,7,4,1,1,1,5,NA,4,4,4,7,8,9,9,7,4,3,2,2,3,8,5,7,2,4,4,1,4,2,2,5,NA,5,5,2,3,3,2,NA,4,2,2,2,3,4,3,NA,3,3,7,7,NA,4,3,NA,2,2,3,3,3,3,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,4,3,1,2,2,NA,NA,6,2,6,2,2,5,5,6,6,6,5,6,3,5,6,4,3,6,5,4,3
14081,ES,1,15,300,21,18,5,6,6,5,2,3,2,3,3,5,3,6,6,6,7,7,3,2,5,3,2,5,8,4,1,4,2,5,7,4,4,NA,8,8,7,7,5,3,4,4,4,1,2,6,2,3,1,5,2,4,1,2,4,2,4,4,3,4,3,3,NA,4,4,6,5,5,2,4,6,5,4,8,8,2,3,3,3,2,3,4,3,4,3,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,2,2,2,1,9,6,NA,4,6,3,5,2,4,3,2,5,4,4,5,5,3,3,3,2,2,5,5,4,4
16948,FR,1,20,480,19,11,5,8,5,0,3,2,1,3,3,3,5,2,0,4,6,6,2,3,0,3,8,5,0,5,1,5,2,5,10,3,3,3,10,8,5,8,7,4,2,4,4,1,6,2,9,1,1,4,1,5,3,4,3,4,4,4,NA,3,4,2,NA,4,5,6,1,4,5,4,5,2,5,10,10,4,2,4,NA,4,1,3,4,2,4,2,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,1,3,2,3,4,2,4,3,1,2,3,8,0,2,2,4,5,6,3,3,6,1,6,5,6,6,6,2,6,6,2,2,6,3,4,6
25875,IL,2,90,420,16,10,5,2,4,5,2,2,1,2,2,3,4,5,2,2,NA,4,NA,8,4,3,2,1,3,4,1,3,2,5,NA,4,2,3,4,3,4,8,7,4,1,1,4,1,4,2,5,1,3,4,3,4,2,4,5,3,4,4,5,5,4,3,NA,3,0,3,2,5,1,1,NA,6,3,10,7,3,1,1,3,2,1,3,4,5,5,1,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,NA,NA,1,NA,6,3,1,1,NA,NA,3,4,3,6,5,5,5,5,4,3,6,6,3,5,4,4,3,5,4,2,5,6
